topic_id,candidate_narrative,relevance_label,priority_for_review,narrative_hit_count,global_score,topic_observations,num_dipoles_from_master,dt,mt,maxm,minm,stdm,avgm,top_phrases,analyzer_rows,unique_dipoles_in_analyzer,top_dipoles,top_labels,avg_pi,max_pi,min_pi,sum_obs_in_analyzer,max_obs_in_analyzer,avg_obs_in_analyzer,matched_rows_count,matched_label_summary,matched_text_summary,keep_for_final_analysis,topic_cluster,final_notes
t975131,gender controversy,strong_candidate,high,3,5.883142758142758,510,48,48,0.5537075537075536,1.0,0.0,0.3675627774322968,0.5481365154536426,"a female | gender | both genders | ""gender | genders | each gender | their gender | the gender | not gender | Gender",48,48,D93_186 (1) | D6_38 (1) | D31_70 (1) | D97_102 (1) | D10_376 (1) | D30_38 (1) | D21_111 (1) | D186_834 (1) | D21_186 (1) | D30_911 (1),Polarization1 (11) | Polarization0 (11) | Polarization5 (6) | Polarization8 (6) | Polarization6 (5) | Polarization4 (3) | Polarization10 (2) | Polarization9 (2) | Polarization3 (2),0.5481365154536426,1.0,0.0,510,35,10.625,48,Polarization1 (11) | Polarization0 (11) | Polarization5 (6) | Polarization8 (6) | Polarization6 (5),"The topic t975131 is represented by phrases such as: a female, gender, gender. The dipole D93_186 corresponds to fellowships 93 and 186. Representative entities for the first side include: http://dbpedia.org/resource/Israel, http://dbpedia.org/resource/Agence_France-Presse, http://dbpedia.org/resource/Miki_Zohar. Representative entities for the second side include: http://dbpedia.org/resource/Algeria, http://dbpedia.org/resource/Tiaret, http://dbpedia.org/resource/Arab_world. The observed polarization level is moderate polarization (pi=0.4737060041407866, obs=24). (1) | The topic t975131 is represented by phrases such as: a female, gender, gender. The dipole D6_38 corresponds to fellowships 6 and 38. Representative entities for the first side include: http://dbpedia.org/resource/International_Olympic_Committee, http://dbpedia.org/resource/Mark_Adams_(basketball,_born_May_1956), http://dbpedia.org/resource/Belarusians. Representative entities for the second side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. The observed polarization level is low polarization (pi=0.08695652173913038, obs=24). (1) | The topic t975131 is represented by phrases such as: a female, gender, gender. The dipole D31_70 corresponds to fellowships 31 and 70. Representative entities for the first side include: http://dbpedia.org/resource/Great_Britain_women's_national_field_hockey_team, http://dbpedia.org/resource/United_States_men's_national_basketball_team, http://dbpedia.org/resource/Steve_Kerr. Representative entities for the second side include: http://dbpedia.org/resource/Australia, http://dbpedia.org/resource/Anna_Meares, http://dbpedia.org/resource/Molly_Hayes. The observed polarization level is high polarization (pi=1.0, obs=2). (1) | The topic t975131 is represented by phrases such as: a female, gender, gender. The dipole D97_102 corresponds to fellowships 97 and 102. Representative entities for the first side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. Representative entities for the second side include: http://dbpedia.org/resource/Taiwan, http://dbpedia.org/resource/Democratic_Progressive_Party, http://dbpedia.org/resource/Kaohsiung. The observed polarization level is high polarization (pi=0.9411764705882353, obs=11). (1) | The topic t975131 is represented by phrases such as: a female, gender, gender. The dipole D10_376 corresponds to fellowships 10 and 376. Representative entities for the first side include: http://dbpedia.org/resource/France, http://dbpedia.org/resource/Seine-Saint-Denis, http://dbpedia.org/resource/Thomas_the_Tank_Engine. Representative entities for the second side include: http://dbpedia.org/resource/Gaza_Strip. The observed polarization level is no polarization (pi=0.0, obs=3). (1)",,,
t977325,gender controversy,candidate,high,7,0.0,21,8,8,0.0,1.0,0.0,0.3307189138830738,0.125,transgender athletes | transgender and intersex athletes | trans athletes | male-to-female transgender athletes | LGBTQ+ athletes | Which transgender athletes | a transgender athlete | transgender athlete | transgender women athletes | any transgender or non-binary athletes,8,8,D133_910 (1) | D176_910 (1) | D50_56 (1) | D184_698 (1) | D96_910 (1) | D184_910 (1) | D56_910 (1) | D176_184 (1),Polarization1 (7) | Polarization0 (1),0.125,1.0,0.0,21,4,2.625,8,Polarization1 (7) | Polarization0 (1),"The topic t977325 is represented by phrases such as: transgender athletes, transgender athletes, transgender athletes. The dipole D133_910 corresponds to fellowships 133 and 910. Representative entities for the first side include: http://dbpedia.org/resource/New_Zealand_women's_national_football_team, http://dbpedia.org/resource/Colombia_national_football_team, http://dbpedia.org/resource/Oceania_Football_Confederation. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t977325 is represented by phrases such as: transgender athletes, transgender athletes, transgender athletes. The dipole D176_910 corresponds to fellowships 176 and 910. Representative entities for the first side include: http://dbpedia.org/resource/Giorgia_Meloni, http://dbpedia.org/resource/Italian_language, http://dbpedia.org/resource/Prime_Minister_of_Italy. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is no polarization (pi=0.0, obs=3). (1) | The topic t977325 is represented by phrases such as: transgender athletes, transgender athletes, transgender athletes. The dipole D50_56 corresponds to fellowships 50 and 56. Representative entities for the first side include: http://dbpedia.org/resource/Novak_Djokovic, http://dbpedia.org/resource/French_Open, http://dbpedia.org/resource/Emma_Raducanu. Representative entities for the second side include: http://dbpedia.org/resource/Patrick_Star, http://dbpedia.org/resource/Sports_Illustrated, http://dbpedia.org/resource/BBC_Sport. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t977325 is represented by phrases such as: transgender athletes, transgender athletes, transgender athletes. The dipole D184_698 corresponds to fellowships 184 and 698. Representative entities for the first side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. Representative entities for the second side include: http://dbpedia.org/resource/President_of_the_United_States. The observed polarization level is no polarization (pi=0.0, obs=3). (1) | The topic t977325 is represented by phrases such as: transgender athletes, transgender athletes, transgender athletes. The dipole D96_910 corresponds to fellowships 96 and 910. Representative entities for the first side include: http://dbpedia.org/resource/Rory_McIlroy, http://dbpedia.org/resource/Shane_Lowry_(golfer), http://dbpedia.org/resource/Hideki_Matsuyama. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is no polarization (pi=0.0, obs=2). (1)",,,
t636401,opening ceremony / christianity controversy,candidate,high,2,11.241134056248654,1360,38,38,0.314090510395183,1.0,0.0,0.3033722505443945,0.3896096892514467,"a ""mockery | mockery | the mockery | the ""mockery | a mockery | Mockery | this mockery | No mockery | 'MOCKERY | a direct mockery",38,38,D45_90 (1) | D38_129 (1) | D38_659 (1) | D666_668 (1) | D59_125 (1) | D38_187 (1) | D45_576 (1) | D10_45 (1) | D21_45 (1) | D90_124 (1),Polarization1 (8) | Polarization3 (6) | Polarization4 (6) | Polarization8 (5) | Polarization2 (4) | Polarization5 (3) | Polarization0 (2) | Polarization10 (2) | Polarization6 (1) | Polarization9 (1),0.38960968925144673,1.0,0.0,1360,97,35.78947368421053,38,Polarization1 (8) | Polarization3 (6) | Polarization4 (6) | Polarization8 (5) | Polarization2 (4),"The topic t636401 is represented by phrases such as: a ""mockery, mockery, the mockery. The dipole D45_90 corresponds to fellowships 45 and 90. Representative entities for the first side include: http://dbpedia.org/resource/Jesus, http://dbpedia.org/resource/Pope_Francis, http://dbpedia.org/resource/Sheridan_Crane. Representative entities for the second side include: http://dbpedia.org/resource/Kingdom_of_France, http://dbpedia.org/resource/Catholic_Church, http://dbpedia.org/resource/Eucharist. The observed polarization level is low polarization (pi=0.2857142857142858, obs=37). (1) | The topic t636401 is represented by phrases such as: a ""mockery, mockery, the mockery. The dipole D38_129 corresponds to fellowships 38 and 129. Representative entities for the first side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. Representative entities for the second side include: http://dbpedia.org/resource/Clarence_Thomas, http://dbpedia.org/resource/Vicente_Padilla, http://dbpedia.org/resource/Leonardo_da_Vinci. The observed polarization level is high polarization (pi=0.7743589743589745, obs=70). (1) | The topic t636401 is represented by phrases such as: a ""mockery, mockery, the mockery. The dipole D38_659 corresponds to fellowships 38 and 659. Representative entities for the first side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. Representative entities for the second side include: http://dbpedia.org/resource/Lyndon_B._Johnson. The observed polarization level is high polarization (pi=0.7743589743589745, obs=66). (1) | The topic t636401 is represented by phrases such as: a ""mockery, mockery, the mockery. The dipole D666_668 corresponds to fellowships 666 and 668. Representative entities for the first side include: http://dbpedia.org/resource/Ministry_of_Foreign_Affairs_(Russia). Representative entities for the second side include: http://dbpedia.org/resource/Catholic_Church_in_France. The observed polarization level is no polarization (pi=0.0, obs=11). (1) | The topic t636401 is represented by phrases such as: a ""mockery, mockery, the mockery. The dipole D59_125 corresponds to fellowships 59 and 125. Representative entities for the first side include: http://dbpedia.org/resource/Sydney, http://dbpedia.org/resource/Artificial_intelligence, http://dbpedia.org/resource/Samsung. Representative entities for the second side include: http://dbpedia.org/resource/Australians, http://dbpedia.org/resource/James_Magnussen, http://dbpedia.org/resource/Fox_Broadcasting_Company. The observed polarization level is moderate polarization (pi=0.5, obs=3). (1)",,,
t120965,political/geopolitical,candidate,high,2,2.583333333333333,31,10,10,0.8333333333333334,1.0,0.0,0.4068851871911235,0.6333333333333333,terrorism | Islamist terrorism | Terrorism | Terrorists | TERRORISTS | state terrorism | terrorist propaganda | jihadism | terrorism and mass murders | terrorist conspiracy,10,10,D52_93 (1) | D610_811 (1) | D10_134 (1) | D10_420 (1) | D93_610 (1) | D21_134 (1) | D93_367 (1) | D93_811 (1) | D10_52 (1) | D21_52 (1),Polarization0 (5) | Polarization4 (2) | Polarization1 (2) | Polarization7 (1),0.6333333333333333,1.0,0.0,31,5,3.1,10,Polarization0 (5) | Polarization4 (2) | Polarization1 (2) | Polarization7 (1),"The topic t120965 is represented by phrases such as: terrorism, terrorism, terrorism. The dipole D52_93 corresponds to fellowships 52 and 93. Representative entities for the first side include: http://dbpedia.org/resource/Russia, http://dbpedia.org/resource/Kamila_Thompson, http://dbpedia.org/resource/Russian_passport. Representative entities for the second side include: http://dbpedia.org/resource/Israel, http://dbpedia.org/resource/Agence_France-Presse, http://dbpedia.org/resource/Miki_Zohar. The observed polarization level is high polarization (pi=1.0, obs=3). (1) | The topic t120965 is represented by phrases such as: terrorism, terrorism, terrorism. The dipole D610_811 corresponds to fellowships 610 and 811. Representative entities for the first side include: http://dbpedia.org/resource/Munich. Representative entities for the second side include: http://dbpedia.org/resource/Palestinians. The observed polarization level is high polarization (pi=1.0, obs=2). (1) | The topic t120965 is represented by phrases such as: terrorism, terrorism, terrorism. The dipole D10_134 corresponds to fellowships 10 and 134. Representative entities for the first side include: http://dbpedia.org/resource/France, http://dbpedia.org/resource/Seine-Saint-Denis, http://dbpedia.org/resource/Thomas_the_Tank_Engine. Representative entities for the second side include: http://dbpedia.org/resource/Islamic_State, http://dbpedia.org/resource/Afghanistan, http://dbpedia.org/resource/Taliban. The observed polarization level is high polarization (pi=0.6666666666666667, obs=4). (1) | The topic t120965 is represented by phrases such as: terrorism, terrorism, terrorism. The dipole D10_420 corresponds to fellowships 10 and 420. Representative entities for the first side include: http://dbpedia.org/resource/France, http://dbpedia.org/resource/Seine-Saint-Denis, http://dbpedia.org/resource/Thomas_the_Tank_Engine. Representative entities for the second side include: http://dbpedia.org/resource/Interior_minister. The observed polarization level is moderate polarization (pi=0.33333333333333326, obs=4). (1) | The topic t120965 is represented by phrases such as: terrorism, terrorism, terrorism. The dipole D93_610 corresponds to fellowships 93 and 610. Representative entities for the first side include: http://dbpedia.org/resource/Israel, http://dbpedia.org/resource/Agence_France-Presse, http://dbpedia.org/resource/Miki_Zohar. Representative entities for the second side include: http://dbpedia.org/resource/Munich. The observed polarization level is high polarization (pi=1.0, obs=2). (1)",,,
t628516,gender controversy,candidate,high,2,1.714285714285714,36,7,7,0.3333333333333332,0.6666666666666667,0.0,0.2332847374079217,0.4285714285714285,gender eligibility criteria | her gender eligibility | the gender eligibility criteria | its gender eligibility criteria | the necessary gender eligibility criteria | gender eligibility requirements | all the gender eligibility requirements | gender eligibility standards | gender eligibility rules | its gender eligibility rules,7,7,D97_102 (1) | D6_72 (1) | D6_52 (1) | D97_184 (1) | D30_97 (1) | D9_30 (1) | D52_72 (1),Polarization4 (3) | Polarization7 (3) | Polarization1 (1),0.42857142857142855,0.6666666666666667,0.0,36,9,5.142857142857143,7,Polarization4 (3) | Polarization7 (3) | Polarization1 (1),"The topic t628516 is represented by phrases such as: gender eligibility criteria, her gender eligibility, gender eligibility criteria. The dipole D97_102 corresponds to fellowships 97 and 102. Representative entities for the first side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. Representative entities for the second side include: http://dbpedia.org/resource/Taiwan, http://dbpedia.org/resource/Democratic_Progressive_Party, http://dbpedia.org/resource/Kaohsiung. The observed polarization level is moderate polarization (pi=0.33333333333333326, obs=4). (1) | The topic t628516 is represented by phrases such as: gender eligibility criteria, her gender eligibility, gender eligibility criteria. The dipole D6_72 corresponds to fellowships 6 and 72. Representative entities for the first side include: http://dbpedia.org/resource/International_Olympic_Committee, http://dbpedia.org/resource/Mark_Adams_(basketball,_born_May_1956), http://dbpedia.org/resource/Belarusians. Representative entities for the second side include: http://dbpedia.org/resource/Emmanuel_Macron, http://dbpedia.org/resource/Government_of_Russia, http://dbpedia.org/resource/Élysée_Palace. The observed polarization level is moderate polarization (pi=0.33333333333333326, obs=4). (1) | The topic t628516 is represented by phrases such as: gender eligibility criteria, her gender eligibility, gender eligibility criteria. The dipole D6_52 corresponds to fellowships 6 and 52. Representative entities for the first side include: http://dbpedia.org/resource/International_Olympic_Committee, http://dbpedia.org/resource/Mark_Adams_(basketball,_born_May_1956), http://dbpedia.org/resource/Belarusians. Representative entities for the second side include: http://dbpedia.org/resource/Russia, http://dbpedia.org/resource/Kamila_Thompson, http://dbpedia.org/resource/Russian_passport. The observed polarization level is moderate polarization (pi=0.33333333333333326, obs=5). (1) | The topic t628516 is represented by phrases such as: gender eligibility criteria, her gender eligibility, gender eligibility criteria. The dipole D97_184 corresponds to fellowships 97 and 184. Representative entities for the first side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. Representative entities for the second side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. The observed polarization level is high polarization (pi=0.6666666666666667, obs=4). (1) | The topic t628516 is represented by phrases such as: gender eligibility criteria, her gender eligibility, gender eligibility criteria. The dipole D30_97 corresponds to fellowships 30 and 97. Representative entities for the first side include: http://dbpedia.org/resource/Elon_Musk, http://dbpedia.org/resource/Women's_International_Boxing_Association, http://dbpedia.org/resource/Imane_Khelif. Representative entities for the second side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. The observed polarization level is high polarization (pi=0.6666666666666667, obs=9). (1)",,,
t635039,anti-LGBTQ framing,candidate,high,2,1.3333333333333333,16,6,6,0.5,0.5,0.0,0.2357022603955158,0.3333333333333333,"queers | ""queer | queer | The queer | gay | gays | Gay | a homosexual | homosexuals | queer kids",6,6,D32_45 (1) | D45_90 (1) | D20_38 (1) | D38_45 (1) | D32_38 (1) | D38_90 (1),Polarization6 (4) | Polarization1 (2),0.3333333333333333,0.5,0.0,16,3,2.6666666666666665,6,Polarization6 (4) | Polarization1 (2),"The topic t635039 is represented by phrases such as: queers, queers, ""queer. The dipole D32_45 corresponds to fellowships 32 and 45. Representative entities for the first side include: http://dbpedia.org/resource/Instagram, http://dbpedia.org/resource/Twitter, http://dbpedia.org/resource/LinkedIn. Representative entities for the second side include: http://dbpedia.org/resource/Jesus, http://dbpedia.org/resource/Pope_Francis, http://dbpedia.org/resource/Sheridan_Crane. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t635039 is represented by phrases such as: queers, queers, ""queer. The dipole D45_90 corresponds to fellowships 45 and 90. Representative entities for the first side include: http://dbpedia.org/resource/Jesus, http://dbpedia.org/resource/Pope_Francis, http://dbpedia.org/resource/Sheridan_Crane. Representative entities for the second side include: http://dbpedia.org/resource/Kingdom_of_France, http://dbpedia.org/resource/Catholic_Church, http://dbpedia.org/resource/Eucharist. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t635039 is represented by phrases such as: queers, queers, ""queer. The dipole D20_38 corresponds to fellowships 20 and 38. Representative entities for the first side include: http://dbpedia.org/resource/Anne_Hidalgo, http://dbpedia.org/resource/List_of_mayors_of_Paris, http://dbpedia.org/resource/Tony_Estanguet. Representative entities for the second side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. The observed polarization level is moderate polarization (pi=0.5, obs=3). (1) | The topic t635039 is represented by phrases such as: queers, queers, ""queer. The dipole D38_45 corresponds to fellowships 38 and 45. Representative entities for the first side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. Representative entities for the second side include: http://dbpedia.org/resource/Jesus, http://dbpedia.org/resource/Pope_Francis, http://dbpedia.org/resource/Sheridan_Crane. The observed polarization level is moderate polarization (pi=0.5, obs=3). (1) | The topic t635039 is represented by phrases such as: queers, queers, ""queer. The dipole D32_38 corresponds to fellowships 32 and 38. Representative entities for the first side include: http://dbpedia.org/resource/Instagram, http://dbpedia.org/resource/Twitter, http://dbpedia.org/resource/LinkedIn. Representative entities for the second side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. The observed polarization level is moderate polarization (pi=0.5, obs=3). (1)",,,
t158509,doping/cheating,candidate,high,2,0.0,30,10,10,0.0,1.0,0.0,0.4150239727523986,0.3238095238095238,the drugs | drugs | the drug | a drug | drug | The drug | my drugs | the same drug | Both drugs | any drugs,10,10,D22_625 (1) | D125_842 (1) | D108_403 (1) | D108_910 (1) | D189_910 (1) | D70_217 (1) | D217_910 (1) | D44_285 (1) | D56_910 (1) | D1_2 (1),Polarization1 (6) | Polarization0 (2) | Polarization7 (1) | Polarization6 (1),0.3238095238095238,1.0,0.0,30,8,3.0,10,Polarization1 (6) | Polarization0 (2) | Polarization7 (1) | Polarization6 (1),"The topic t158509 is represented by phrases such as: the drugs, drugs, the drug. The dipole D22_625 corresponds to fellowships 22 and 625. Representative entities for the first side include: http://dbpedia.org/resource/Canadians, http://dbpedia.org/resource/Canada, http://dbpedia.org/resource/Celine_Dion. Representative entities for the second side include: http://dbpedia.org/resource/Colombia. The observed polarization level is no polarization (pi=0.0, obs=3). (1) | The topic t158509 is represented by phrases such as: the drugs, drugs, the drug. The dipole D125_842 corresponds to fellowships 125 and 842. Representative entities for the first side include: http://dbpedia.org/resource/Australians, http://dbpedia.org/resource/James_Magnussen, http://dbpedia.org/resource/Fox_Broadcasting_Company. Representative entities for the second side include: http://dbpedia.org/resource/Sky_UK. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t158509 is represented by phrases such as: the drugs, drugs, the drug. The dipole D108_403 corresponds to fellowships 108 and 403. Representative entities for the first side include: http://dbpedia.org/resource/World_Athletics, http://dbpedia.org/resource/Jamaica_Olympic_Association, http://dbpedia.org/resource/Newspaper_Preservation_Act_of_1970. Representative entities for the second side include: http://dbpedia.org/resource/Direct_Stream_Digital. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t158509 is represented by phrases such as: the drugs, drugs, the drug. The dipole D108_910 corresponds to fellowships 108 and 910. Representative entities for the first side include: http://dbpedia.org/resource/World_Athletics, http://dbpedia.org/resource/Jamaica_Olympic_Association, http://dbpedia.org/resource/Newspaper_Preservation_Act_of_1970. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t158509 is represented by phrases such as: the drugs, drugs, the drug. The dipole D189_910 corresponds to fellowships 189 and 910. Representative entities for the first side include: http://dbpedia.org/resource/Israel_Defense_Forces, http://dbpedia.org/resource/Jews. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is high polarization (pi=0.6666666666666666, obs=3). (1)",,,
t178651,gender controversy,candidate,high,2,0.0,27,5,5,0.0,0.8055555555555556,0.0,0.3222222222222222,0.1611111111111111,"their gender identities | gender identity | ""gender identity | their gender identity | gender identities | Gender Identity | her gender identity | a gender identity | the gender identity | sexual and gender identities",5,5,D97_102 (1) | D97_184 (1) | D30_97 (1) | D184_698 (1) | D184_910 (1),Polarization1 (4) | Polarization9 (1),0.16111111111111112,0.8055555555555556,0.0,27,8,5.4,5,Polarization1 (4) | Polarization9 (1),"The topic t178651 is represented by phrases such as: their gender identities, gender identity, ""gender identity. The dipole D97_102 corresponds to fellowships 97 and 102. Representative entities for the first side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. Representative entities for the second side include: http://dbpedia.org/resource/Taiwan, http://dbpedia.org/resource/Democratic_Progressive_Party, http://dbpedia.org/resource/Kaohsiung. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t178651 is represented by phrases such as: their gender identities, gender identity, ""gender identity. The dipole D97_184 corresponds to fellowships 97 and 184. Representative entities for the first side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. Representative entities for the second side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. The observed polarization level is high polarization (pi=0.8055555555555556, obs=7). (1) | The topic t178651 is represented by phrases such as: their gender identities, gender identity, ""gender identity. The dipole D30_97 corresponds to fellowships 30 and 97. Representative entities for the first side include: http://dbpedia.org/resource/Elon_Musk, http://dbpedia.org/resource/Women's_International_Boxing_Association, http://dbpedia.org/resource/Imane_Khelif. Representative entities for the second side include: http://dbpedia.org/resource/Thomas_Bach, http://dbpedia.org/resource/Independent_Broadcasting_Authority, http://dbpedia.org/resource/President_of_the_International_Olympic_Committee. The observed polarization level is no polarization (pi=0.0, obs=3). (1) | The topic t178651 is represented by phrases such as: their gender identities, gender identity, ""gender identity. The dipole D184_698 corresponds to fellowships 184 and 698. Representative entities for the first side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. Representative entities for the second side include: http://dbpedia.org/resource/President_of_the_United_States. The observed polarization level is no polarization (pi=0.0, obs=7). (1) | The topic t178651 is represented by phrases such as: their gender identities, gender identity, ""gender identity. The dipole D184_910 corresponds to fellowships 184 and 910. Representative entities for the first side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is no polarization (pi=0.0, obs=8). (1)",,,
t811565,gender controversy,possible_candidate,high,4,0.6666666666666666,8,4,4,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,"an athlete's gender | athletes' gender | an athlete's sex and/or gender | an athlete's ""true"" gender identity | the only nonbinary athlete | Athleticin 2021:""My gender | female athletes' rights | non-binary athlete | male and female athletes | Both male and female athletes",4,4,D43_56 (1) | D18_43 (1) | D56_910 (1) | D43_910 (1),Polarization1 (2) | Polarization7 (2),0.3333333333333333,0.6666666666666666,0.0,8,2,2.0,4,Polarization1 (2) | Polarization7 (2),"The topic t811565 is represented by phrases such as: an athlete's gender, athletes' gender, an athlete's sex and/or gender. The dipole D43_56 corresponds to fellowships 43 and 56. Representative entities for the first side include: http://dbpedia.org/resource/Olympic_Games, http://dbpedia.org/resource/Chad_le_Clos, http://dbpedia.org/resource/Laura_Kenny. Representative entities for the second side include: http://dbpedia.org/resource/Patrick_Star, http://dbpedia.org/resource/Sports_Illustrated, http://dbpedia.org/resource/BBC_Sport. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t811565 is represented by phrases such as: an athlete's gender, athletes' gender, an athlete's sex and/or gender. The dipole D18_43 corresponds to fellowships 18 and 43. Representative entities for the first side include: http://dbpedia.org/resource/2024_Summer_Olympics, http://dbpedia.org/resource/China_Media_Group, http://dbpedia.org/resource/The_Independent. Representative entities for the second side include: http://dbpedia.org/resource/Olympic_Games, http://dbpedia.org/resource/Chad_le_Clos, http://dbpedia.org/resource/Laura_Kenny. The observed polarization level is no polarization (pi=0.0, obs=2). (1) | The topic t811565 is represented by phrases such as: an athlete's gender, athletes' gender, an athlete's sex and/or gender. The dipole D56_910 corresponds to fellowships 56 and 910. Representative entities for the first side include: http://dbpedia.org/resource/Patrick_Star, http://dbpedia.org/resource/Sports_Illustrated, http://dbpedia.org/resource/BBC_Sport. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is high polarization (pi=0.6666666666666666, obs=2). (1) | The topic t811565 is represented by phrases such as: an athlete's gender, athletes' gender, an athlete's sex and/or gender. The dipole D43_910 corresponds to fellowships 43 and 910. Representative entities for the first side include: http://dbpedia.org/resource/Olympic_Games, http://dbpedia.org/resource/Chad_le_Clos, http://dbpedia.org/resource/Laura_Kenny. Representative entities for the second side include: http://dbpedia.org/resource/Paris. The observed polarization level is high polarization (pi=0.6666666666666666, obs=2). (1)",,,
t721761,gender controversy,possible_candidate,high,3,1.1666666666666667,7,3,3,0.5,1.0,0.0,0.408248290463863,0.5,"the transgender | transgender | 'transgender | TRANSGENDER | no transgender | not transgender | a ""transgender"" person | trans | Trans | TRANS",3,3,D6_38 (1) | D184_698 (1) | D38_184 (1),Polarization6 (1) | Polarization0 (1) | Polarization1 (1),0.5,1.0,0.0,7,3,2.3333333333333335,3,Polarization6 (1) | Polarization0 (1) | Polarization1 (1),"The topic t721761 is represented by phrases such as: the transgender, transgender, transgender. The dipole D6_38 corresponds to fellowships 6 and 38. Representative entities for the first side include: http://dbpedia.org/resource/International_Olympic_Committee, http://dbpedia.org/resource/Mark_Adams_(basketball,_born_May_1956), http://dbpedia.org/resource/Belarusians. Representative entities for the second side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. The observed polarization level is moderate polarization (pi=0.5, obs=3). (1) | The topic t721761 is represented by phrases such as: the transgender, transgender, transgender. The dipole D184_698 corresponds to fellowships 184 and 698. Representative entities for the first side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. Representative entities for the second side include: http://dbpedia.org/resource/President_of_the_United_States. The observed polarization level is high polarization (pi=1.0, obs=2). (1) | The topic t721761 is represented by phrases such as: the transgender, transgender, transgender. The dipole D38_184 corresponds to fellowships 38 and 184. Representative entities for the first side include: http://dbpedia.org/resource/Christianity, http://dbpedia.org/resource/Family_of_Donald_Trump, http://dbpedia.org/resource/Tate. Representative entities for the second side include: http://dbpedia.org/resource/Fox_News, http://dbpedia.org/resource/Donald_Trump, http://dbpedia.org/resource/J._K._Rowling. The observed polarization level is no polarization (pi=0.0, obs=2). (1)",,,
