topic_id,global_score,topic_observations,dt,mt,maxm,minm,stdm,avgm,top_phrases,phrase_count_shown,num_dipoles,analyzer_rows,top_dipoles,top_labels,avg_pi,max_pi,sum_obs_in_analyzer,max_obs_in_analyzer,candidate_narrative,relevant_to_disinformation,notes
t964699,37.50397394402748,35301,584,0.6204447687972592,1.0,0.0,0.2367609488008921,0.6005963370369017,The 2012 London Olympics | the 2012 London Olympics | not just the London 2012 Olympics | the London Olympics | the London 2012 Olympics | the Los Angeles Olympics | the 1984 Los Angeles Olympics | the 2028 Los Angeles Olympics | the Los Angeles 2028 Olympics | the 1932 Los Angeles Olympics,10,584,584,D179_910 (1) | D17_179 (1) | D134_880 (1) | D334_910 (1) | D2_171 (1),Polarization7 (92) | Polarization6 (90) | Polarization8 (87) | Polarization9 (68) | Polarization5 (60),0.6005963370369019,1.0,35301,306,,,
t721689,29.085446009389678,23716,497,0.6095238095238096,1.0,0.0,0.2404678417924262,0.5951822919453731,a medal | the medals | medals | any medals | 45 medals | the medal(s | their medals | 10 medals | The medals | my medal,10,497,497,D179_910 (1) | D17_179 (1) | D334_910 (1) | D2_171 (1) | D40_54 (1),Polarization8 (82) | Polarization6 (78) | Polarization7 (77) | Polarization9 (64) | Polarization4 (51),0.5951822919453731,1.0,23716,147,,,
t184039,28.365307621671256,26364,550,0.5917508417508417,1.0,0.0,0.2505304272716677,0.5795159803213266,"the games | the game | Game | their games | a game | these games | the same games | the 2028 games | ""game | A game",10,550,550,D179_910 (1) | D17_179 (1) | D134_880 (1) | D334_910 (1) | D2_171 (1),Polarization6 (89) | Polarization7 (81) | Polarization9 (76) | Polarization5 (66) | Polarization8 (61),0.5795159803213266,1.0,26364,228,,,
t950272,26.94398946360153,16426,384,0.6298850574712643,1.0,0.0,0.2482282258516675,0.5989230324638578,"an Olympic athlete | Olympic athletes | the Olympic athletes | An Olympic athlete | all these Olympic athletes | all the Olympic athletes | Some 14,250 Olympic athletes | Olympic athlete | other Olympic athletes | some 10,000 Olympic athletes",10,384,384,D179_910 (1) | D17_179 (1) | D2_171 (1) | D40_54 (1) | D122_910 (1),Polarization7 (72) | Polarization6 (54) | Polarization9 (50) | Polarization8 (45) | Polarization4 (42),0.5989230324638578,1.0,16426,179,,,
t597754,20.631531286788007,13402,409,0.6296296296296297,1.0,0.0,0.2688923297194983,0.606682154363157,Gold | gold | the gold | a gold | their gold | 41 golds | 23 golds | her gold | 38 golds | golds,10,409,409,D2_171 (1) | D40_54 (1) | D64_905 (1) | D2_27 (1) | D24_87 (1),Polarization6 (62) | Polarization9 (56) | Polarization7 (54) | Polarization10 (53) | Polarization8 (46),0.606682154363157,1.0,13402,108,,,
t684777,19.28985507246377,9317,276,0.5714285714285714,1.0,0.0,0.2866744752387025,0.5557929316870135,the opening and closing ceremonies | the opening and closing Ceremonies | the Opening and Closing Ceremonies | The Opening and Closing Ceremonies | its opening ceremony | The Opening Ceremony | any opening ceremony | That opening ceremony | the opening ceremony | The opening ceremony,10,276,276,D2_171 (1) | D122_910 (1) | D2_27 (1) | D38_660 (1) | D68_911 (1),Polarization6 (48) | Polarization7 (37) | Polarization1 (32) | Polarization9 (31) | Polarization8 (31),0.5557929316870135,1.0,9317,172,,,
t503119,17.71810411810412,14252,429,0.5333333333333333,1.0,0.0,0.2761240101607274,0.5213657043337411,one event | one more event | this one event | two events | those two events | two or more events | another event | Another event | several events | events,10,429,429,D179_910 (1) | D17_179 (1) | D134_880 (1) | D2_171 (1) | D40_54 (1),Polarization7 (64) | Polarization3 (61) | Polarization9 (49) | Polarization4 (48) | Polarization6 (47),0.5213657043337411,1.0,14252,176,,,
t990155,16.687684729064042,11292,406,0.6000000000000001,1.0,0.0,0.2725294136440334,0.5715487637111715,the world | our world | both worlds | The world | both the world | the World | world No | worlds | a world | world,10,406,406,D2_171 (1) | D122_910 (1) | D64_905 (1) | D2_27 (1) | D68_911 (1),Polarization7 (56) | Polarization9 (55) | Polarization4 (50) | Polarization6 (49) | Polarization8 (46),0.5715487637111715,1.0,11292,131,,,
t1008459,16.480614772390815,13084,374,0.4710906393208625,1.0,0.0,0.2871014797818676,0.4962184025090809,athletics | Athletics | the athletics | (Athletics | The athletics | (athletics | just athletics | ATHLETICS | the athletics track | Sports,10,374,374,D2_171 (1) | D40_54 (1) | D122_910 (1) | D2_27 (1) | D68_911 (1),Polarization2 (57) | Polarization9 (48) | Polarization5 (43) | Polarization3 (41) | Polarization7 (40),0.49621840250908095,1.0,13084,196,,,
t361393,14.410434782608696,2762,92,0.48,1.0,0.0,0.3495319390742668,0.4462448141008384,"the scene | the scenes | a scene | 12 ""scenes | scene | this scene | Scene | The scene | scenes | his scene",10,92,92,D122_910 (1) | D38_660 (1) | D6_38 (1) | D2_184 (1) | D6_689 (1),Polarization1 (26) | Polarization6 (15) | Polarization0 (13) | Polarization4 (9) | Polarization7 (8),0.4462448141008384,1.0,2762,103,,,
t464134,13.575348092453352,1043,42,0.5466583124477861,1.0,0.0,0.3058543151121087,0.5283236500891642,drag queens | the drag queens | A drag queen | The drag queen | a drag queen | the drag queen | This Drag Queen | The drag queens | Drag queens | more drag queen,10,42,42,D6_38 (1) | D32_45 (1) | D45_90 (1) | D20_38 (1) | D6_106 (1),Polarization6 (8) | Polarization7 (5) | Polarization1 (5) | Polarization2 (4) | Polarization9 (4),0.5283236500891639,1.0,1043,67,,,
t861768,13.467909105131412,2811,128,0.6132665832290363,1.0,0.0,0.3204171322916111,0.5350246608678886,The ceremony | the ceremonies | CEREMONY | its ceremony | the ceremony | no ceremony | a ceremony | this ceremony | ceremony | The 2012 ceremony,10,128,128,D2_171 (1) | D122_910 (1) | D6_38 (1) | D2_184 (1) | D19_93 (1),Polarization7 (25) | Polarization1 (21) | Polarization4 (18) | Polarization0 (16) | Polarization8 (14),0.5350246608678886,1.0,2811,79,,,
