cluster,article_index,title,publication_date,source,url,retrieval_label,retrieval_confidence,strong_hits,support_hits,all_hits_count,snippet,claim_1_text,claim_1_category,claim_1_why,claim_2_text,claim_2_category,claim_2_why,claim_3_text,claim_3_category,claim_3_why,dominant_claim_type_in_article,article_notes,keep_for_case_study
Cluster A - Khelif / gender / eligibility,2103,Olympic Boxer Imane Khelif Is Neither Trans Nor Male | Snopes.com,2024-08-06,www.snopes.com,https://www.snopes.com/news/2024/08/05/imane-khelif-not-trans/,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",16,"In early August 2024, an Algerian female boxer at the 2024 Paris Olympics named Imane Khelif was forced into American culture wars over allegations she was a man identifying as a woman to cheat her way to the top. The news cycle began after Khelif's unusually short victory o...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2119,Olympic Boxer Imane Khelif Is Not a Trans Athlete | Snopes.com,2024-08-02,www.snopes.com,https://www.snopes.com/news/2024/08/02/imane-khelif-olympics-boxing/,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",16,"On Aug. 1, 2024, Algerian boxer Imane Khelif faced Italian boxer Angela Carini in an opening bout of the women's welterweight boxing tournament at the 2024 Paris Olympics. Forty-six seconds into the fight, after receiving a few punches, Carini ended the fight early,...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2086,PolitiFact | Claims about Algerian boxer Imane Khelif’s Olympic boxing eligibility lack context,,www.politifact.com,https://www.politifact.com/article/2024/aug/02/claims-about-algerian-boxer-imane-khelifs-olympic/,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",15,"Our only agenda is to publish the truth so you can be an informed participant in democracy.We need your help.

More Info

Algeria's Imane Khelif, left, fights Italy's Angela Carini in their women's 66kg preliminary boxing match at the 2024 Summer Olympics, Thursday, Aug. 1, 2024, in Paris, France. (AP)

The Boxing Unit set up by the International Olympic Committee, whic...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2106,Olympics 2024 boxing controversy: What we know and what we don't know - BBC Sport,2024-08-02,www.bbc.com,https://www.bbc.com/sport/olympics/articles/cye0ex43k63o,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",15,"Imane Khelif beat Angela Carini on Thursday

Algeria's Imane Khelif and Taiwan's Lin Yu-ting have been cleared to compete at the Paris Olympics despite being disqualified from last year's World Championships after they were said to have failed gender...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,3148,Gold Medal Boxer Slams “Scary” Decision To Allow Biological Male To Fight Women At Olympics - modernity,2024-08-02,modernity.news,https://modernity.news/2024/08/02/gold-medal-boxer-slams-scary-decision-to-allow-biological-male-to-fight-women-at-olympics/,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",15,"...on!



Signup for a daily  m o d e r n i t y  brief direct to your inbox and other special offers! No more than 2 emails per day max.

You have successfully joined the  m o d e r n i t y  subscriber list. You will receive a newsletter soon!

Women’s boxer Claressa Shields, whowontwo gold medals for the US in the 2012 and 2016 Olympics, has slammed the decision to allow a person who went through male puberty to compete against women at the Paris games.

As we highlighted yesterday, Italian female...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,4001,"Simone Biles wins gold, Katie Ledecky makes Olympic history at the 2024 Summer Olympics | Live Updates",2026-01-14,www.foxnews.com,https://www.foxnews.com/live-news/olympics-2024-paris-august-1-2024,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",15,"...d at least break the eight-year medal drought. But a perfect race for these four men led to the sixth gold at these Olympics for the United States.

This is an excerpt from a report by Scott Thompson.

Day 6 of the Paris Olympics had the world watch Imane Khelif box Angela Carini in a bout that lasted just 46 seconds.

Khelif, of Algeria, controversially qualified for women's boxing despite being disqualified from the 2023 world championships after failing an unspecified gender eligibility test....",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2073,Imane Khelif: the Algerian boxer who overcame an ugly gender furore to win Olympic gold,,theconversation.com,https://theconversation.com/imane-khelif-the-algerian-boxer-who-overcame-an-ugly-gender-furore-to-win-olympic-gold-236175,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",14,"Professor of Sociology of Sport, Nord University

Anne Tjønndal is affiliated with The Norwegian Boxing Federation.

View all partners

https://doi.org/10.64628/AAJ.ka7eamckt

Share article

Print article

Imane Khelif’sgold medalat the 2024 Paris Olympics meant alsoovercomingafurorethat erupted around her and another boxer earlier in the games....",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2090,Imane Khelif - Wikipedia,2021-07-30,en.wikipedia.org,https://en.wikipedia.org/wiki/Imane_Khelif,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",14,"Imane Khelif(Arabic:إيمان خليف,romanized:ʾĪmān Khalīf,pronounced[ʔiːˈmaːnxəˈliːf]; born 2 May 1999) is an Algerianprofessional boxerwho won the gold medal in thewomen's 66 kg (welterweight) boxingevent at the2024 Summer Olympics.

Khelif started her...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2091,2024 Summer Olympics boxing controversy - Wikipedia,2024-12-11,en.wikipedia.org,https://en.wikipedia.org/wiki/2024_Summer_Olympics_boxing_controversy,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, female boxer, algeria, algerian, eligibility, gender, sex, gender test, male, female",14,Theboxingcontroversy at the2024 Summer Olympic Gamesin Paris involved two female boxers:AlgerianImane KhelifandLin Yu-TingofTaiwan.  Their eligibility to compete in the women's boxing events at theParis Olympic Gameswas questioned based on false allegat...,,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2094,Imane Khelif: Olympic boxer’s controversial Paris Games explained in full | The Independent,2024-08-09,www.independent.co.uk,https://www.independent.co.uk/sport/olympics/imane-khelif-boxing-final-paris-2024-b2592661.html,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",14,"Notifications can be managed in browser preferences.

Please refresh the page or navigate to another page on the site to be automatically logged inPlease refresh your browser to be logged in

Swipe for next article

Khelif and Lin Yu-ting have been at the centre of a boxing controversy, having allegedly failed gender tests in the past. Now both fighters have won Olympic medals and are going for gold.Alex Pattleexplains how we got here, and what comes next

I wou...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2095,Olympic boxers reignite debate over inclusion in women's sports - ESPN,2024-08-03,www.espn.com,https://www.espn.com/olympics/story/_/id/40707847/olympic-boxing-controversy-imane-khelif-lin-yu-ting-gender-sports,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, male, female",14,"IOC spokesperson Mark Adams discusses the controversy around an Algerian boxer's gender eligibility. (1:17)

A boxing match that lasted 46 seconds has dominated the conversation around the Paris Olympics in recent days and reignited the debate about who is eligible to compete in women's sports.

Algerian boxerIma...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,2105,Olympics 2024: Paris gold has 'special taste' for Khelif after gender dispute | RNZ News,2024-08-10,www.rnz.co.nz,https://www.rnz.co.nz/news/sport/524745/olympics-2024-paris-gold-has-special-taste-for-khelif-after-gender-dispute,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",14,"ByAadi Nair,Reuters

Gold medallist Algeria's Imane Khelif poses on the podium during the medal ceremony for the women's 66kg final boxing category during the Paris 2024 Olympic Games at the Roland-Garros Stadium, in Paris on 9 August 2024.Photo:MAURO PIMENTEL / AFP

Victory at the Par...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,6054,Imane Khelif allowed to fight at 2024 Olympics IOC decision explained | Metro News,2024-08-02,metro.co.uk,https://metro.co.uk/2024/08/02/imane-khelif-allowed-fight-2024-olympics-ioc-decision-explained-21346901,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, gender test, male, female",14,"TheInternational Olympic Committeehas defended its decision to allow two female boxers to compete at theParisOlympics amid a growinggenderrow.

AlgerianImane Khelifand Taiwan’s double world champion Lin Yu-ting are competing at the Games in the face ofmounting ‘aggression’because of an arbitrary decision, according to the...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,7202,"""Wouldn't even last a round"": ""The Daily Show"" calls out Megyn Kelly for misgendering Olympic boxer - Salon.com",2024-08-06,www.salon.com,https://www.salon.com/2024/08/06/wouldnt-even-last-a-round-the-daily-show-calls-out-megyn-kelly-for-misgendering-olympic-boxer,high_precision,high,"imane khelif, khelif","boxing, boxer, women's boxing, female boxer, algeria, algerian, eligibility, gender, sex, intersex, male, female",14,"""The Daily Show"" has called outMegyn Kellyand other conservative voices in media who have taken swings at a new target in the culture war over gender: Algerian boxerÂ Imane Khelif.

Even before her debut at theOlympic Gamesin Paris, the boxer faced a barrage of unsubstantiated claims about her gender identity, including that she is either a man or transgender. Amid ongoing conservative push...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,7333,Paris Olympics: ‘Suspected Intersex’ Boxer Who Previously Failed Gender Eligibility Test Forces Opponent To Quit 46 Seconds Into Fight – One America News Network,2024-08-01,www.oann.com,https://www.oann.com/newsroom/paris-olympics-suspected-intersex-boxer-who-previously-failed-gender-eligibility-test-forces-opponent-to-quit-46-seconds-into-fight,high_precision,high,"imane khelif, khelif","boxing, boxer, female boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, male, female",14,"OAN StaffJames Meyers10:42 AM – Thursday, August 1, 2024

Algerian boxer Imane Khelif’s first fight at the 2024 Paris Olympics stirred up much controversy.

Khelif, 25, who previously failed gender eligibility tests at the 2023 World Championships, forced the Italian opponent, Angela Carini, to quit her mat...",,,,,,,,,,,,
Cluster A - Khelif / gender / eligibility,8816,"Olympics – the thrill of victory, the agony of diversity * WorldNetDaily * by Chuck Norris",2024-08-05,www.wnd.com,https://www.wnd.com/2024/08/olympics-the-thrill-of-victory-the-agony-of-diversity,high_precision,high,"imane khelif, khelif","boxing, boxer, olympic boxing, algeria, algerian, eligibility, gender, sex, intersex, gender test, male, female",14,"...y.”

(I encourage you subscribe and read the latest edition of theWhistleblower, “America’s All-Out Religious War,” which details many other anti-religious incidents in society like the above.)

The second Olympic fracture last week erupted when the Algerian boxer Imane Khelif, who was deemed to have male XY chromosomes (be biologically male) thoughregistered as a woman,won a fight in just 46 secondsin the 66-kilogram women’s division againstItaly’s Angela Carini.

Within 30 seconds, Carini was...",,,,,,,,,,,,
