article_index,title,publication_date,source,url,label,confidence,strong_hits,support_hits,all_hits_count,snippet
242,Olympic “Christ” Threatens to Sue Critics Over “Last Supper” Backlash – JONATHAN TURLEY,2024-07-31,jonathanturley.org,https://jonathanturley.org/2024/07/31/olympic-christ-threatens-to-sue-critics-over-last-supper-backlash/comment-page-2/#comments,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, faith, biblical, mock, mockery, blasphemy, parody, offend, offensive",16,"Barbara Butch, the LGBTQ activist who was the center figure in the controversial “Last Supper” Paris Olympic scene is threatening to sue those criticizing her. Butch played the role (wearing a Christ-like halo) viewed by many as a spoof on Christ in the Last Supper. The creators insist that they were going for a type of “pagan par..."
512,The Last Supper Mocked At Olympics Opening Ceremony By Drag Queens - Victory Girls Blog,2024-07-27,victorygirlsblog.com,https://victorygirlsblog.com/the-last-supper-mocked-at-olympics-opening-ceremony-by-drag-queens/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, religion, religious, faith, mock, mockery, blasphemy, parody, offend, offensive",14,"The Last Supper Mocked At Olympics Opening Ceremony By Drag Queens

July 27, 2024

In a very jarring note at the Olympics, a group of drag queens enacted a show that literally mockedThe Last Supper.

The 2024 Paris Olympics kicked off Friday with the pro..."
907,Christian faith leaders react to alleged parody of Last Supper at Paris Olympics: 'Grotesque mockery' | Fox News,2024-07-30,www.foxnews.com,https://www.foxnews.com/media/christians-react-apparent-mockery-last-supper-paris-olympics-grotesque-mockery,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, faith, mock, mockery, parody, offend, offensive",14,"...in real-time or delayed by at least 15 minutes. Market data provided byFactset. Powered and implemented byFactSet Digital Solutions.Legal Statement. Mutual Fund and ETF data provided byRefinitiv Lipper.

Bishop Robert Barron reacts to a drag queens parody allegedly mocking Christianity at the 2024 Paris Olympics on 'Fox News Live.'

A series of drag queens who appeared to parody the iconic Leonardo da Vinci painting of ""The Last Supper"" during the opening ceremony of the 2024 Paris Olympic Game..."
8830,"WATCH: Paris Olympics 'sorry' for Last Supper 'offense,' but Christians are not buying it * WorldNetDaily * by Joe Kovacs",2024-07-29,www.wnd.com,https://www.wnd.com/2024/07/watch-paris-olympics-sorry-for-last-supper-offense-but-christians-are-not-buying-it,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religious, faith, biblical, mock, mockery, blasphemy, offend, offensive",14,"ByJoe Kovacs

July 29, 2024



Officials with 2024 Olympic Games in Paris are offering an apology of sorts in connection with their intentional pagan reimagining of Jesus’ Last Supper featuring an obese woman and drag queens, but many Christians are not accepting their sentiment.

“Clearly there was never intention to show disrespect to any religious group. On the contrary, we intended to show tolerance and comm..."
1805,"Drag queen in Olympic opening ceremony has no regrets, calls it ‘a photograph of France in 2024’ – Winnipeg Free Press",2024-08-01,www.winnipegfreepress.com,https://www.winnipegfreepress.com/arts-and-life/entertainment/celebrities/2024/07/31/drag-queen-in-olympic-opening-ceremony-has-no-regrets-calls-it-a-photograph-of-france-in-2024,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, faith, mock, mockery, parody, offend",13,"...ral France, Hugo Bardin never felt he lived in a world that represented who he was — a world in which he had a place.

And that is why Bardin, who performs as the drag queen Paloma, felt it was meaningful and important to be part of a Paris Olympics opening ceremony that presented a multifaceted, multiethnic France with people of different ethnicities and orientations.

“It was a really important moment for the French people and the representation of France around the world,” says Paloma, who to..."
1819,'Grossophobic': LGBT activist whose Olympic stunt ridiculed Christianity threatens to sue critics * WorldNetDaily * by Bob Unruh,2024-07-31,www.wnd.com,https://www.wnd.com/2024/07/grossophobic-lgbt-activist-whose-olympic-stunt-ridiculed-christianity-threatens-to-sue-critics/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, religion, religious, faith, biblical, mock, mockery, blasphemy, offend",13,"ByBob Unruh

July 31, 2024

Barbara Butch, a radical LGBT activist who was part of a stunt at the Paris Olympics opening ceremonies that mocked Christianity, now is threatening to sue those who are criticizing her.

And an American legal expert,constitutional scholar Jonathan Turley,is explaining the anti-free speech laws and conditions in France create a much more conducive atmospher..."
4004,Paris Olympics churns on as Last Supper parody draws intense scrutiny,2026-01-14,www.foxnews.com,https://www.foxnews.com/live-news/2024-summer-olympics-opening-weekend-paris,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religious, faith, biblical, mock, mockery, parody, offend",13,"...he fire,” Omot said.

“Obviously, we felt disrespected when that happened. ... I feel like for us we’ve got to continue to show the world what we’re capable of.”

The Associated Press contributed to this report.



A Paris 2024 official defended the opening ceremony atthe Olympicsamid an uproar over the depiction of The Last Supper during the event.

The ceremony’s segment appeared to resemble a depiction of The Last Supper, famously painted by Leonardo da Vinci. The performance ensemble include..."
37,Olympics 2024: Drag queen in ceremony addresses 'Last Supper' controversy | AP News,2024-07-31,apnews.com,https://apnews.com/article/olympics-2024-opening-ceremony-drag-queen-paloma-80ffb114bd84229d4e2b12506871b443,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, apostles, religion, religious, mock, mockery, parody, offend",12,"Copyright 2025 The Associated Press. All Rights Reserved.

Copyright 2025 The Associated Press. All Rights Reserved.

Hugo Bardin, who performs as the drag queen Paloma, felt it was meaningful and important to be part of a Paris Olympics opening ceremony that presented a multifaceted, multi-ethnic France with people of different ethnicities and orientations.

Hugo Bardin who performs as the drag queen Paloma speaks, during an interview with The Associated Press in Paris, France, Wedn..."
113,Crux,2024-07-29,cruxnow.com,https://cruxnow.com/church-in-europe/2024/07/paris-olympic-committee-makes-soft-apology-for-last-supper-drag-parody/,high_precision,high,"opening ceremony, last supper","christian, jesus, religion, religious, faith, biblical, mock, parody, offend, offensive",12,"Drag queen Piche prepares to perform at the Debilly Bridge in Paris during the opening ceremony of the 2024 Summer Olympics, Friday, July 26, 2024. (Credit: Tsvangirayi Mukwazhi/AP.)

ROME – Representatives of the Paris 2024 Olympics Committee have apologized to anyone offended by a drag parody of the Last Supper during the ope..."
375,Paris Olympics Opening Ceremony Hurts Religious Sentiments,2024-07-29,propakistani.pk,https://propakistani.pk/2024/07/29/blasphemous-paris-olympics-opening-ceremony-hurts-religious-sentiments/,high_precision,high,"opening ceremony, last supper","christian, jesus, apostles, religion, religious, faith, mock, mockery, blasphemy, parody",12,"The opening ceremony of theParis Summer Olympicson Friday night ignited a global controversy after featuring a parody of Leonardo Da Vinci’s iconic painting “The Last Supper,” depicted by drag queens. The scene has been criticized by many as “shocking an..."
590,"The Paris Olympics ‘Last Supper,’ the French Revolution and punching down on a Catholic minority - America Magazine",2024-08-06,www.americamagazine.org,https://www.americamagazine.org/politics-society/2024/08/06/paris-olympics-opening-ceremony-last-supper-catholic-french-revolution/,high_precision,high,"opening ceremony, last supper","christianity, christian, jesus, religion, religious, faith, mock, mockery, blasphemy, offend",12,"America Magazine

The Jesuit Review

It’sdéjà vuall over again. Or at least that’s the way the French Olympic controversy feels. Cultural elites mocking Christian symbols? In France?Sacrébleu!How did they come up with something so original? Drag queens? How transgressive! Only the flabby Smurf was new.

My first reaction to the silhouette of Da Vinci’s “The Last Supper” filled in with a table..."
714,Muslim leaders condemn ‘disgraceful’ Olympics scene: It ‘offended us as much as them’ | Catholic News Agency,2024-07-30,www.catholicnewsagency.com,https://www.catholicnewsagency.com/news/258450/muslim-leaders-condemn-disgraceful-olympics-scene-it-offended-us-as-much-as-them,high_precision,high,"opening ceremony, last supper","christian, jesus, apostles, religion, religious, faith, mock, parody, offend, offensive",12,"ByKate Quiñones

CNA Staff, Jul 30, 2024 /
            16:22 pm

Top government officials in Iran and Turkey, along with other Muslim religious figures, are speaking out against the drag-queen-led parody of the Last Supper at the Paris Olympics opening ceremony that shocked Christians and others across the world.

The supreme leader of Iran, Ayatollah Ali Khamenei, condemned the “i..."
